drug_1,drug_2,relation_type,severity,mention_count,evidence_sentence
Dexbrompheniramine,anticholinergics,effect,Moderate,2,"Dexbrompheniramine can interact with alcohol or other CNS depressants (may potentiate the CNS depressant effects of either these medications or antihistamines), anticholinergics or other medications with anticholinergic activity (anticholinergic effects may be potentiated when these medications are "
ethacrynic acid,warfarin,mechanism,High,1,"A number of drugs, including ethacrynic acid, have been shown to displace warfarin from plasma protein;"
Probenecid,methotrexate,mechanism,High,1,"Probenecid : Probenecid is known to interact with the metabolism or renal tubular excretion of many drugs (e.g., acetaminophen, acyclovir, angiotensin-converting enzyme inhibitors, aminosalicylic acid, barbiturates, benzodiazepines, bumetanide, clofibrate, methotrexate, famotidine, furosemide, nonst"
ketamine,ouabain,effect,Moderate,2,"Ventricular tachycardia induced by ouabain was generally converted to sinus rhythm following administration of Innovar, ketamine, or droperidol but not after administration of fentayl alone or after pentobarbital."
Robinul,anticholinergics,effect,Moderate,1,"The concurrent use of Robinul Injection with other anticholinergics or medications with anticholinergic activity, such as phenothiazines, antiparkinson drugs, or tricyclic antidepressants, may intensify the antimuscarinic effects and may result in an increase in anticholinergic side effects."
rifampin,MEPRON,advise,Moderate,2,Alternatives to rifampin should be considered during the course of PCP treatment with MEPRON.
bosentan,ketoconazole,mechanism,High,1,"Ketoconazole: Co-administration of bosentan 125 mg b.i.d. and ketoconazole, a potent CYP3A4 inhibitor, increased the plasma concentrations of bosentan by approximately 2-fold."
sulfonylurea,salicylates,effect,Moderate,1,"The hypoglycemic action of sulfonylurea may be potentiated by certain drugs including nonsteroidal anti-inflammatory agents and other drugs that are highly protein bound, salicylates, sulfonamides, chloramphenicol, probenecid, coumarins, monoamine oxidase inhibitors, and beta adrenergic blocking age"
Bentiromide,Tylenol,int,Low,1,"Bentiromide may interact with acetaminophen (e.g., Tylenol), chloramphenicol (e.g., Chloromycetin), local anesthetics (e.g., benzocaine and lidocaine), para-aminobenzoic acid (PABA)-containing preparations (e.g., sunscreens and some multivitamins), procainamide (e.g., Pronestyl), sulfonamides (sulfa"
cyclosporine,corticosteroids,effect,Moderate,1,Cyclosporine: Increased activity of both cyclosporine and corticosteroids may occur when the two are used concurrently.
SUSTIVA,ketoconazole,mechanism,High,1,SUSTIVA has the potential to decrease plasma concentrations of itraconazole and ketoconazole.
haloperidol,rifampin,mechanism,High,3,"In 5 other schizophrenic patients treated with oral haloperidol and rifampin, discontinuation of rifampin produced a mean 3.3-fold increase in haloperidol concentrations."
tolbutamide,Atromid-S,mechanism,High,2,Atromid-S may displace acidic drugs such as phenytoin or tolbutamide from their binding sites.
eszopiclone,ethanol,effect,Moderate,1,CNS-Active Drugs Ethanol An additive effect on psychomotor performance was seen with coadministration of eszopiclone and ethanol 0.70 g/kg for up to 4 hours after ethanol administration.
anesthetic solutions,tricyclic antidepressants,effect,Moderate,1,"The administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving monoamine oxidase inhibitors, tricyclic antidepressants or phenothiazines may produce severe, prolonged hypotension or hypertension."
FORADIL,monoamine oxidase inhibitors,advise,Moderate,1,Monoamine Oxidase Inhibitors and Tricyclic Antidepressants: FORADIL should be administered with extreme caution in patients being treated with monoamine oxidase inhibitors or tricyclic antidepressants because the action of formoterol on the cardiovascular system may be potentiated by these agents.
dezocine,Levo-Dromoran,advise,Moderate,1,"Interactions with Mixed Agonist/Antagonist Opioid Analgesics: Agonist/antagonist analgesics (eg, pentazocine, nalbuphine, butorphanol, dezocine and buprenorphine) should NOT be administered to a patient who has received or is receiving a course of therapy with a pure agonist opioid analgesic such as"
ketoconazole,corticosteroids,mechanism,High,4,"Drugs which inhibit CYP 3A4 (e.g., ketoconazole, macrolide antibiotics such as erythromycin) have the potential to result in increased plasma concentrations of corticosteroids."
Sensipar,itraconazole,advise,Moderate,1,"Dose adjustment of Sensipar may be required and PTH and serum calcium concentrations should be closely monitored if a patient initiates or discontinues therapy with a strong CYP3A4 inhibitor (e.g., ketoconazole, erythromycin, itraconazole;"
picrotoxin,phenazepam,effect,Moderate,1,"[The GABA-ergic system and brain edema] It has been shown in rats with experimental toxic and traumatic edemas that picrotoxin (1 mg/kg) removes the antiedematous action of diazepam, phenazepam, phenibut and amizyl and reduces the action of phentolamine."
phenobarbital,Mefloquine,effect,Moderate,1,"In patients taking an anticonvulsant (eg, valproic acid, carbamazepine, phenobarbital or phenytoin), the concomitant use of Mefloquine may reduce seizure control by lowering the plasma levels of the anticonvulsant."
disopyramide,TAMBOCOR,advise,Moderate,1,"Because both of these drugs have negative inotropic properties and the effects of coadministration with TAMBOCOR are unknown, neither disopyramide nor verapamil should be administered concurrently with TAMBOCOR unless, in the judgment of the physician, the benefits of this combination outweigh the r"
ibuprofen,heparin sodium,effect,Moderate,1,"Platelet inhibitors: Drugs such as acetylsalicylic acid, dextran, phenylbutazone, ibuprofen, indomethacin, dipyridamole, hydroxychloroquine and others that interfere with platelet-aggregation reactions (the main hemostatic defense of heparinized patients) may induce bleeding and should be used with "
Cyclosporine,Itraconazole,mechanism,High,2,"Coadministration of Itraconazole and cyclosporine, tacrolimus or digoxin has led to increased plasma concentrations of the latter three drugs."
Antizol,phenytoin,mechanism,High,1,"Reciprocal interactions may occur with concomitant use of Antizol and drugs that increase or inhibit the cytochrome P450 system (e.g., phenytoin, carbamazepine, cimetidine, ketoconazole), though this has not been studied"
epinephrine,phenothiazines,effect,Moderate,3,Phenothiazines and butyrophenones may reduce or reverse the pressor effect of epinephrine.
monoamine oxidase inhibitors,fluvoxamine,effect,Moderate,1,"In patients receiving nonselective monoamine oxidase inhibitors (MAOIs) (e.g., selegiline hydrochloride) in combination with serotoninergic agents (e.g., fluoxetine, fluvoxamine, paroxetine, sertraline, venlafaxine), there have been reports of serious, sometimes fatal, reactions."
phenytoin,CMI,mechanism,High,1,"plasma levels of several closely related tricyclic antidepressants have been reported to be increased by the concomitant administration of methylphenidate or hepatic enzyme inhibitors (e.g., cimetidine, fluoxetine) and decreased by the concomitant administration of hepatic enzyme inducers (e.g., bar"
anticoagulant,sulfonamides,effect,Moderate,1,"Drugs that reportedly may increase oral anticoagulant response, ie, increased prothrombin response, in man include:alcohol*;allopurinol;aminosalicylic acid;amiodarone;anabolic steroids;antibiotics;bromelains;chloral hydrate*;chlorpropamide;chymotrypsin;cimetidine;cinchophen;clofibrate;dextran;dextro"
disulfiram,nitrites,effect,Moderate,1,"In rats, simultaneous ingestion of disulfiram and nitrite in the diet for 78 weeks has been reported to cause tumors, and it has been suggested that disulfiram may react with nitrites in the rat stomach to form a nitrosamine, which is tumorigenic."
picrotoxin,amizyl,effect,Moderate,1,"[The GABA-ergic system and brain edema] It has been shown in rats with experimental toxic and traumatic edemas that picrotoxin (1 mg/kg) removes the antiedematous action of diazepam, phenazepam, phenibut and amizyl and reduces the action of phentolamine."
Codeine,sedative-hypnotics,effect,Moderate,1,"Codeine in combination with other narcotic analgesics, general anesthetics, phenothiazines, tranquilizers, sedative-hypnotics, or other CNS depressants (including alcohol) has additive depressant effects."
alosetron,cimetidine,advise,Moderate,1,"Concomitant administration of alosetron and moderate CYP1A2 inhibitors, including quinolone antibiotics and cimetidine, has not been evaluated, but should be avoided unless clinically necessary because of similar potential drug interactions."
valproic acid,Mefloquine,effect,Moderate,1,"In patients taking an anticonvulsant (eg, valproic acid, carbamazepine, phenobarbital or phenytoin), the concomitant use of Mefloquine may reduce seizure control by lowering the plasma levels of the anticonvulsant."
Bentiromide,Chloromycetin,int,Low,1,"Bentiromide may interact with acetaminophen (e.g., Tylenol), chloramphenicol (e.g., Chloromycetin), local anesthetics (e.g., benzocaine and lidocaine), para-aminobenzoic acid (PABA)-containing preparations (e.g., sunscreens and some multivitamins), procainamide (e.g., Pronestyl), sulfonamides (sulfa"
digitalis preparations,colestipol hydrochloride,effect,Moderate,1,Particular caution should be observed with digitalis preparations since there are conflicting results for the effect of colestipol hydrochloride on the availability of digoxin and digitoxin.
caffeine,ketoconazole,advise,Moderate,1,"Based on adult data, lower doses of caffeine may be needed following coadministration of drugs which are reported to decrease caffeine elimination (e.g., cimetidine and ketoconazole) and higher caffeine doses may be needed following coadministration of drugs that increase caffeine elimination (e.g.,"
VISTIDE,amikacin,advise,Moderate,1,"Nephrotoxic agents : Concomitant administration of VISTIDE and agents with nephrotoxic potential [e.g., intravenous aminoglycosides (e.g., tobramycin, gentamicin, and amikacin), amphotericin B, foscarnet, intravenous pentamidine, vancomycin, and non-steroidal anti-inflammatory agents] is contraindic"
Duloxetine,tricyclic antidepressants,advise,Moderate,1,"Therefore, co-administration of Duloxetine with other drugs that are extensively metabolized by this isozyme and which have a narrow therapeutic index, including certain antidepressants (tricyclic antidepressants [TCAs], such as nortriptyline, amitriptyline, and imipramine), phenothiazines and Type "
S(-)warfarin,Aprepitant,mechanism,High,1,"Although there was no effect of Aprepitant on the plasma AUC of R(+) or S(-) warfarin determined on Day 3, there was a 34% decrease in S(-)warfarin (a CYP2C9 substrate) trough concentration accompanied by a 14% decrease in the prothrombin time (reported as International Normalized Ratio or INR) 5 da"
methylxanthines,adenosine,advise,Moderate,3,The effects of adenosine are antagonized by methylxanthines such as caffeine and theophylline.
lansoprazole,ampicillin,mechanism,High,1,"therefore, it is theoretically possible that lansoprazole may interfere with the absorption of drugs where gastric pH is an important determinant of bioavailability (e.g. ketoconazole, ampicillin esters, iron salts, digoxin)."
